seldur	sþgken	selja
samstarfsverkefnum	nhfþ	samstarfsverkefni
á	ao	á
landsvísu	nveo	landsvísa
.	.	.
Hér	aa	hér
er	sfg3en	vera
oft	aa	oft
um	ao	um
umfangsmikla	lkfosf	umfangsmikill
málaflokka	nkfo	málaflokkur
að	cn	að
ræða	sng	ræða
,	,	,
svo	aa	svo
sem	c	sem
umferðaröryggi	nheo	umferðaröryggi
og	c	og
öryggi	nheo	öryggi
barna	nhfe	barn
.	.	.
Víða	aa	víða
um	ao	um
land	nheo	land
styðja	sfg3fn	styðja
slysavarnadeildirnar	nvfng	slysavarnadeild
einnig	aa	einnig
við	ao	við
bakið	nheog	bak
á	aþ	á
björgunarsveitunum	nvfþg	björgunarsveit
,	,	,
aðstoða	sfg3fn	aðstoða
þær	fpvfo	hún
við	ao	við
fjáröflun	nveo	fjáröflun
og	c	og
veita	sfg3fn	veita
þeim	fpvfþ	hún
margháttaðan	lkeosf	margháttaður
stuðning	nkeo	stuðningur
vegna	ae	vegna
útkalla	nhfe	útkall
og	c	og
aðgerða	nvfe	aðgerð
.	.	.
Unglingadeildir	nvfn	unglingadeild
.	.	.
Innan	ae	innan
unglingadeilda	nvfe	unglingadeild
félagsins	nheeg	félag
hefur	sfg3en	hafa
mikill	lkensf	mikill
fjöldi	nken	fjöldi
ungs	lheesf	ungur
fólks	nhee	fólk
fundið	ssg	finna
athafnaþrá	nveþ	athafnaþrá
sinni	feveþ	sinn
farveg	nkeo	farvegur
til	ae	til
heilbrigðra	lhfesf	heilbrigður
og	c	og
uppbyggjandi	lhfeof	uppbyggjandi
starfa	nhfe	starf
.	.	.
Unglingadeildirnar	nvfng	unglingadeild
eru	sfg3fn	vera
35	ta	35
talsins	nheeg	tal
og	c	og
starfa	sfg3fn	starfa
í	aþ	í
tengslum	nhfþ	tengsl
við	ao	við
björgunarsveitir	nvfo	björgunarsveit
félagsins	nheeg	félag
víða	aa	víða
um	ao	um
land	nheo	land
.	.	.
Þar	aa	þar
kynnast	sfm3fn	kynna
unglingarnir	nkfng	unglingur
starfi	nheþ	starf
björgunar-	nvfe	björgunarsveit
og	c	og
slysavarnasveita	nvfe	slysavarnasveit
.	.	.
Gildi	nhen	gildi
unglingadeildastarfsins	nheeg	unglingadeildastarf
er	sfg3en	vera
í	aþ	í
meginatriðum	nhfþ	meginatriði
tvíþætt	lhensf	tvíþættur
,	,	,
annars	fokee	annar
vegar	nkee	vegur
að	cn	að
skapa	sng	skapa
unglingum	nkfþ	unglingur
spennandi	lkeoof	spennandi
og	c	og
jákvæðan	lkeosf	jákvæður
vettvang	nkeo	vettvangur
í	aþ	í
frítímum	nkfþ	frítími
og	c	og
hins	fakee	hinn
vegar	nkee	vegur
mótast	sfm3en	móta
þar	aa	þar
framtíðar	nvee	framtíð
björgunar-	nhen	björgunarfólk
og	c	og
slysavarnafólk	nhen	slysavarnafólk
.	.	.
Framfaraspor	nhfn	framfaraspor
í	aþ	í
öryggismálum	nhfþ	öryggismál
.	.	.
Slysavarnafélagið	nhengs	Slysavarnafélag
Landsbjörg	nven-s	Landsbjörg
hefur	sfg3en	hafa
allt	fohen	allur
frá	aþ	frá
upphafi	nheþ	upphaf
lagt	ssg	leggja
grunninn	nkeog	grunnur
að	aþ	að
ýmsu	foheþ	ýmis
því	faheþ	sá
sem	ct	sem
í	ao	í
dag	nkeo	dagur
mótar	sfg3en	móta
öryggi	nheo	öryggi
þjóðarinnar	nveeg	þjóð
,	,	,
jafnt	aa	jafnt
í	aþ	í
starfi	nheþ	starf
sem	c	sem
leik	nkeþ	leikur
.	.	.
Má	sfg3en	mega
þar	aa	þar
nefna	sng	nefna
:	:	:
kaup	nhfn	kaup
og	c	og
rekstur	nken	rekstur
á	aþ	á
fyrstu	lveþve	fyrstur
björgunarþyrlu	nveþ	björgunarþyrla
landsins	nheeg	land
,	,	,
uppbygging	nven	uppbygging
og	c	og
rekstur	nken	rekstur
Tilkynningarskyldu	nvee-s	Tilkynningarskylda
íslenskra	lhfesf	íslenskur
skipa	nhfe	skip
,	,	,
